fecha,ventas
2016-10-30,79.0
2016-10-31,96.0
2016-11-01,77.0
2016-11-02,83.0
2016-11-03,95.0
2016-11-04,85.0
2016-11-05,119.0
2016-11-06,87.0
2016-11-07,75.0
2016-11-08,72.0
2016-11-09,50.0
2016-11-10,69.0
2016-11-11,93.0
2016-11-12,96.0
2016-11-13,74.0
2016-11-14,65.0
2016-11-15,65.0
2016-11-16,67.0
2016-11-17,73.0
2016-11-18,77.0
2016-11-19,100.0
2016-11-20,70.0
2016-11-21,47.0
2016-11-22,41.0
2016-11-23,44.0
2016-11-24,62.0
2016-11-25,66.0
2016-11-26,88.0
2016-11-27,59.0
2016-11-28,41.0
2016-11-29,50.0
2016-11-30,50.0
2016-12-01,47.0
2016-12-02,61.0
2016-12-03,88.0
2016-12-04,51.0
2016-12-05,54.0
2016-12-06,61.0
2016-12-07,43.0
2016-12-08,40.0
2016-12-09,58.0
2016-12-10,81.0
2016-12-11,47.0
2016-12-12,44.0
2016-12-13,42.0
2016-12-14,51.0
2016-12-15,60.0
2016-12-16,81.0
2016-12-17,76.0
2016-12-18,47.0
2016-12-19,76.0
2016-12-20,54.0
2016-12-21,65.0
2016-12-22,56.0
2016-12-23,71.0
2016-12-24,81.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,23.0
2016-12-28,48.0
2016-12-29,61.0
2016-12-30,49.0
2016-12-31,56.0
2017-01-01,1.0
2017-01-02,0.0
2017-01-03,44.0
2017-01-04,37.0
2017-01-05,50.0
2017-01-06,42.0
2017-01-07,88.0
2017-01-08,44.0
2017-01-09,42.0
2017-01-10,44.0
2017-01-11,47.0
2017-01-12,41.0
2017-01-13,49.0
2017-01-14,80.0
2017-01-15,44.0
2017-01-16,42.0
2017-01-17,43.0
2017-01-18,34.0
2017-01-19,54.0
2017-01-20,69.0
2017-01-21,92.0
2017-01-22,65.0
2017-01-23,46.0
2017-01-24,59.0
2017-01-25,41.0
2017-01-26,50.0
2017-01-27,72.0
2017-01-28,105.0
2017-01-29,55.0
2017-01-30,39.0
2017-01-31,56.0
2017-02-01,56.0
2017-02-02,49.0
2017-02-03,64.0
2017-02-04,139.0
2017-02-05,52.0
2017-02-06,64.0
2017-02-07,52.0
2017-02-08,43.0
2017-02-09,48.0
2017-02-10,67.0
2017-02-11,74.0
2017-02-12,48.0
2017-02-13,59.0
2017-02-14,47.0
2017-02-15,35.0
2017-02-16,44.0
2017-02-17,63.0
2017-02-18,93.0
2017-02-19,58.0
2017-02-20,52.0
2017-02-21,43.0
2017-02-22,47.0
2017-02-23,44.0
2017-02-24,60.0
2017-02-25,72.0
2017-02-26,67.0
2017-02-27,36.0
2017-02-28,54.0
2017-03-01,38.0
2017-03-02,46.0
2017-03-03,59.0
2017-03-04,98.0
2017-03-05,57.0
2017-03-06,49.0
2017-03-07,56.0
2017-03-08,34.0
2017-03-09,46.0
2017-03-10,61.0
2017-03-11,80.0
2017-03-12,62.0
2017-03-13,51.0
2017-03-14,48.0
2017-03-15,46.0
2017-03-16,49.0
2017-03-17,58.0
2017-03-18,81.0
2017-03-19,52.0
2017-03-20,50.0
2017-03-21,48.0
2017-03-22,50.0
2017-03-23,57.0
2017-03-24,57.0
2017-03-25,106.0
2017-03-26,63.0
2017-03-27,43.0
2017-03-28,52.0
2017-03-29,44.0
2017-03-30,55.0
2017-03-31,68.0
2017-04-01,73.0
2017-04-02,47.0
2017-04-03,57.0
2017-04-04,54.0
2017-04-05,56.0
2017-04-06,52.0
2017-04-07,45.0
2017-04-08,93.0
2017-04-09,32.0
